Entity,Code,Year,Christians,Jews,Muslims,Hindus,Buddhists,Other,No religion
Guadeloupe,GLP,2020,95.86735,0.35385525,0.36998156,0.49992087,0.20725808,0.22520894,2.4764247
Guam,GUM,2010,94.15638,0,0.030575955,0,1.0622619,3.1037574,1.6470248
Guam,GUM,2020,94.01658,0,0.030216314,0,1.0504613,3.069622,1.833123
Guatemala,GTM,2010,92.9916,0.006188493,0.002544158,0.001237699,0.005088316,0.9072518,6.0860925
Guatemala,GTM,2020,91.950264,0.00518352,0.002706949,0.001324677,0.005471494,2.0141091,6.020942
Guinea,GIN,2010,8.469569,0,87.87899,0,0.090003364,0.1998077,3.3616285
Guinea,GIN,2020,11.7080765,0,86.80789,0,0.08595887,0.0784514,1.3196203
Guinea-Bissau,GNB,2010,26.19481,0,53.724464,0,0,17.66617,2.4145553
Guinea-Bissau,GNB,2020,21.71778,0,55.979042,0,0,10.680865,11.622312
Guyana,GUY,2010,63.89892,0.012033188,6.770056,24.825644,0.026740417,1.3321056,3.1345055
Guyana,GUY,2020,65.87551,0.037631616,6.5048914,23.39901,0.03135968,1.243247,2.9083457
Haiti,HTI,2010,91.05142,0.002235118,0.001930329,0,0.003352677,1.3066924,7.6343637
Haiti,HTI,2020,88.71866,0.002122616,0.001857289,0,0.003183924,1.8394874,9.434688
Honduras,HND,2010,90.11083,0.011833014,0.002366603,0,0.1296447,0.18026745,9.565058
Honduras,HND,2020,88.47241,0.005927821,0.002766317,0.001284361,0.005433836,1.7682755,9.743903
Hong Kong,HKG,2010,18.57129,0.007711249,0.10497679,0.10497679,11.862377,1.1547446,68.193924
Hong Kong,HKG,2020,18.74611,0.03234078,0.2680348,0.30339074,8.411983,0.8833539,71.35478
Hungary,HUN,2010,72.55506,0.1515785,0.06170237,0.03534346,0.124192946,2.0887375,24.983383
Hungary,HUN,2020,72.36884,0.13296446,0.13922392,0.05762102,0.19222227,0.13321792,26.975906
Iceland,ISL,2010,81.28427,0.09419301,0.72328913,0.12599517,0.42160276,1.4797318,15.870918
Iceland,ISL,2020,74.91874,0.15547425,1.2126484,0.16047928,1.3399417,2.3672984,19.845415
India,IND,2010,2.3098202,0.000367887,14.264812,79.97396,0.69895923,2.7493122,0.002767197
India,IND,2020,2.21462,0.000301379,15.190016,79.36619,0.6806626,2.5449524,0.003259997
Indonesia,IDN,2010,9.876196,0.0000058936,87.532166,1.6939561,0.72118306,0.07711897,0.09937806
Indonesia,IDN,2020,10.262307,0.001059009,86.96418,1.5842967,0.6775277,0.41862655,0.09200521
Iran,IRN,2010,0.15718226,0.011692788,99.73181,0,0,0.09931658,0
Iran,IRN,2020,0.14260982,0.009242157,99.77311,0.000219217,0.0000187587,0.07474967,0.0000501292
Iraq,IRQ,2010,0.6366729,0,99.234406,0.000479772,0,0.12754408,0.000895574
Iraq,IRQ,2020,0.3749807,0,99.49836,0.000493456,0,0.12536426,0.000798929
Ireland,IRL,2010,91.86814,0.02652177,1.090393,0.23686796,0.19267985,0.44103223,6.1443653
Ireland,IRL,2020,81.21602,0.054588255,1.6911991,0.69491416,0.19380386,0.5482377,15.601239
Israel,ISR,2010,1.9643615,78.499756,13.857499,0.1992712,0.051385254,1.851164,3.5765636
Israel,ISR,2020,1.8792765,77.04939,14.731497,0.16612966,0.04283918,1.7562019,4.3746643
Italy,ITA,2010,88.49567,0.0750653,3.415665,0.30003983,0.41805926,0.55651414,6.7389927
Italy,ITA,2020,80.471794,0.071020424,4.4194283,0.42585316,0.6135678,0.72590345,13.272429
Jamaica,JAM,2010,70.44304,0.007315567,0.016460026,0.03840673,0,7.645485,21.849297
Jamaica,JAM,2020,68.61233,0.017727759,0.015954982,0.03687374,0.001242755,7.572232,23.743639
